token_addr_idx,timestamp,block_number,tx_hash,tx_from,tx_to,evt_idx,evt_type,evt_log,token0,token1,reserve0,reserve1,lp_total_supply
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,80,Sync,"{'reserve0': 190.8091085119483, 'reserve1': 52866994.138680875}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.8091085,52866994.14,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,81,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 877732956.2045058}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.8091085,52866994.14,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,84,Sync,"{'reserve0': 10.870544666906094, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.87054467,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,85,Swap,"{'amount0In': 0.0, 'amount1In': 877732956.2045058, 'amount0Out': 179.9385638450422, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.87054467,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,88,Sync,"{'reserve0': 190.87054466690608, 'reserve1': 53150314.60100243}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.8705447,53150314.6,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,89,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 877449635.7421842}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.8705447,53150314.6,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,92,Sync,"{'reserve0': 10.932310008897277, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.93231001,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,93,Swap,"{'amount0In': 0.0, 'amount1In': 877449635.7421842, 'amount0Out': 179.9382346580088, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.93231001,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,96,Sync,"{'reserve0': 190.93231000889728, 'reserve1': 53434968.83325121}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.93231,53434968.83,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,97,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 877164981.5099355}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.93231,53434968.83,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,100,Sync,"{'reserve0': 10.994406087007654, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.99440609,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,101,Swap,"{'amount0In': 0.0, 'amount1In': 877164981.5099355, 'amount0Out': 179.9379039218896, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,10.99440609,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,104,Sync,"{'reserve0': 190.99440608700766, 'reserve1': 53720961.1939774}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.9944061,53720961.19,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,105,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 876878989.1492093}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,190.9944061,53720961.19,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,108,Sync,"{'reserve0': 11.056834455378608, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.05683446,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,109,Swap,"{'amount0In': 0.0, 'amount1In': 876878989.1492093, 'amount0Out': 179.93757163162905, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.05683446,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,112,Sync,"{'reserve0': 191.0568344553786, 'reserve1': 54008296.036107466}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.0568345,54008296.04,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,113,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 876591654.3070792}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.0568345,54008296.04,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,116,Sync,"{'reserve0': 11.11959667320048, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.11959667,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,117,Swap,"{'amount0In': 0.0, 'amount1In': 876591654.3070792, 'amount0Out': 179.93723778217813, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.11959667,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,120,Sync,"{'reserve0': 191.11959667320048, 'reserve1': 54296977.70669993}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.1195967,54296977.71,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,121,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 876302972.6364868}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.1195967,54296977.71,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,124,Sync,"{'reserve0': 11.182694304705683, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.1826943,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,125,Swap,"{'amount0In': 0.0, 'amount1In': 876302972.6364868, 'amount0Out': 179.9369023684948, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.1826943,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,128,Sync,"{'reserve0': 191.18269430470568, 'reserve1': 54587010.54669932}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.1826943,54587010.55,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,129,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 876012939.7964873}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.1826943,54587010.55,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,132,Sync,"{'reserve0': 11.24612891916151, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.24612892,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,133,Swap,"{'amount0In': 0.0, 'amount1In': 876012939.7964873, 'amount0Out': 179.93656538554418, 'amount1Out': 0.0}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.24612892,930599950.3,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,136,Sync,"{'reserve0': 191.24612891916152, 'reserve1': 54878398.89068832}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.2461289,54878398.89,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,137,Swap,"{'amount0In': 180.0, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 875721551.4524983}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,191.2461289,54878398.89,100000
3,2023-11-13 01:12:59+00:00,18559629,0x53486cde632e2f97f29eb0ed3cdbf2bdc438bdaa2650216c58b691fac95f9206,0x6B140e79DB4D9bBD80e5b688f42d1fcf8ef97798,0x4b2A0290e41623FbfeB5F6a0eA52dC261B65E29b,140,Sync,"{'reserve0': 11.309902090862673, 'reserve1': 930599950.3431866}",0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd4b726c5b5e6f63d16a2050ee3ac4a0f0f81f1d4,11.30990209,930599950.3,100000
