token_addr,holder_addr,balance,rel_to_total
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x5c8bed9c75301f1f2d7b90cb01267337097d609e,999259084363.808751072,99925.90843638087
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xa1fd9c25a63ad3eea2c3384c67565d42eaa54c20,72027127.79706526,7.202712779706526
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x303425052e462dd0f3044aee17e1f5be9c7de783,53164034.274431326,5.316403427443133
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x4a2c786651229175407d3a2d405d1998bcf40614,46044402.820859427,4.6044402820859425
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x711281c1b26aaed86e40e4caaf76c1962b45e161,39451271.31716897,3.9451271317168977
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xfbfeaf0da0f2fde5c66df570133ae35f3eb58c9a,37925322.342900449,3.7925322342900447
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x460eb5ca9d4955c535d5267ac581c7ea40b41f2a,36796963.016091356,3.6796963016091353
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x5ed639eb11d3936828bc2f615cbc46102225ac6b,34102176.387260173,3.4102176387260172
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xf5dea801973700ecc1f55ad45c30334a3880cac0,33397674.843964029,3.3397674843964027
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xfdfbea492bcb16deb4b1390ea1a3c41464806cbe,29816541.452187808,2.981654145218781
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x7d864f613e6efbf61614919a953ebb95b31ce373,28535423.009629794,2.8535423009629794
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x0ce687357e47383e1f1ee9fbf064888e7ffbc1d3,28486491.976814752,2.848649197681475
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xdd84d5952eeff0f0474cecab7654b067d05d1953,26473021.881067082,2.6473021881067083
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x868cbdd2e348135e36d053f3087ae7112f844131,26228109.225280143,2.6228109225280143
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xe2e776b9a836f024c81c65220502b7c9e2d1760c,25698349.627694451,2.5698349627694452
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x00771ca51ad95b62fc3db75d630b5d308860ab37,24937955.888876232,2.4937955888876235
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x552da34a204e635098495abdab68bf2426e35c1f,24861045.406843089,2.486104540684309
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0x535f1fcdd9c5001d847b2e7ef579d6e4ab6f860b,24088100.797017615,2.4088100797017615
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xb0623c91c65621df716ab8afe5f66656b21a9108,23592443.273833988,2.359244327383399
0x71D7Bf0338E52C51Eb15e2ef3Ed182dA3E5c7db0,0xfa45c6991a2c3d74ada3a279e21135133ce3da8a,23466225.284215579,2.346622528421558
0x4894B01F8f67152dD5D6202d063D011278327942,0x7ffb72a7e12358574cc4f6eef430d92844590197,3786210000000000.0,900000000
0x4894B01F8f67152dD5D6202d063D011278327942,0xd6bad850c645cb8d0ad4e17fc4a3024f775254a3,416483215744822.428395877,99000027.51309097
0x4894B01F8f67152dD5D6202d063D011278327942,0x4894b01f8f67152dd5d6202d063d011278327942,4206938446450.367007062,1000009.1389028423
0x4894B01F8f67152dD5D6202d063D011278327942,0xbed980c0a3bec8b62d4f542996ca5c34f94a10aa,36477320.482934961,8.670831368212927
0x4894B01F8f67152dD5D6202d063D011278327942,0xf9387ac9f61cc22994a59a6008f827435ce744b6,22625890.147766268,5.37828095456661
0x4894B01F8f67152dD5D6202d063D011278327942,0xfbfeaf0da0f2fde5c66df570133ae35f3eb58c9a,21664531.568259177,5.149761479535805
0x4894B01F8f67152dD5D6202d063D011278327942,0xacd64c841d81567a92b36f79fd0d03b8b2f54408,14150256.547984644,3.363582815846501
0x4894B01F8f67152dD5D6202d063D011278327942,0x49bdfcc6e5e3798d2f77658a00e9a28d9f350217,12030734.234947949,2.8597623511250445
0x4894B01F8f67152dD5D6202d063D011278327942,0xbdf59d84e393cc0728409144512d2cd62c3278f3,10911417.096403751,2.5936953805423832
0x4894B01F8f67152dD5D6202d063D011278327942,0xf80642eb48d9e4ab64053690aa4f6e96254451ce,9828721.52044108,2.3363335283560533
0x4894B01F8f67152dD5D6202d063D011278327942,0x47477fd862bbd0296d8a4aa82c0847de1a4be74a,8567376.633084399,2.036505891056217
0x4894B01F8f67152dD5D6202d063D011278327942,0x000461a73d3985eef4923655782aa5d0de75c111,7525273.503329609,1.7887930550594522
0x4894B01F8f67152dD5D6202d063D011278327942,0x3b9f9c436f5bf1530eb345a0f01bb876e3bd38e8,7170040.427287211,1.704352475049849
0x4894B01F8f67152dD5D6202d063D011278327942,0x1810577a83d0b2f23aed6486f416db6b0b2a83c8,7100216.312064515,1.6877549530686529
0x4894B01F8f67152dD5D6202d063D011278327942,0x77777639f22bb93b6dca1345ff659f6f8ccd6958,6865235.513935199,1.6318989074936885
0x4894B01F8f67152dD5D6202d063D011278327942,0x7a9803f2450e948f63bba32834792ce7aab02515,6656155.404965465,1.582199578065907
0x4894B01F8f67152dD5D6202d063D011278327942,0xb10c74816dade0d7d4cf0fb3e33b5a05ddc5d803,6598694.384922527,1.568540822202222
0x4894B01F8f67152dD5D6202d063D011278327942,0x42a458e49b6021fda9b89e047aa1b4f27950d74a,6581958.87837445,1.5645627132507192
0x4894B01F8f67152dD5D6202d063D011278327942,0x25c256f6437de6e9ba2c0ded33b87d99bd9de8db,6510079.234297683,1.5474765823522507
0x4894B01F8f67152dD5D6202d063D011278327942,0x0577f3bfa2717e9f2c73354264e6b69c07bd0de6,6210617.738957214,1.4762931704954276
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x17ec8923bc576be2587adcdcab8d8de879d11c1d,38739354.415484597,38.7393544154846
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xd1f212f438c1ce7dcaf6aee57503569d641add31,4037220.05715752,4.03722005715752
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x195e1a872447dc8250aa777ceba53e70cf1372fd,3193671.327791367,3.193671327791367
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x464fb0431f50a445b031025de77166fb7b6f7aa4,2372652.383186545,2.372652383186545
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x6cda49eda326422548b0432b4daa06861675e816,2184060.382959826,2.1840603829598257
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xe37d148356957c490f0a01314b71cf60772a86e0,2069503.466073374,2.0695034660733738
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x0deffea757b4057c431985dc29afd8654bae1e17,2034865.370317076,2.034865370317076
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x986e40318c7d52768bee5b20368a7f46fcd7c987,2020745.743026968,2.020745743026968
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x4027f4dabfbb616a8dcb19bb225b3cf17879c9a8,2014455.804349754,2.014455804349754
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xc9662500a5cff3466a1b0025e1bf3ac37f162b7f,1964564.201241948,1.964564201241948
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x541d66529bf9ffc963f7cfd2ac5dfcab902314a8,1923964.09838136,1.9239640983813602
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xbe657e25350edd8ac38d741d00f09d16f5b3ddd3,1868808.190480511,1.8688081904805107
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x062dcde33c81da581a2a8bc2a172b0e12af93745,1842117.423254235,1.8421174232542348
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xa8411b1db4081dd6d8f6fce182cadd6bf335c7dc,1821901.814108709,1.8219018141087089
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xf6d2c349d9ceda5335ffaf1550ab74950254e1b0,1821736.763653374,1.8217367636533741
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x8af086d7a3be45a9521022054cfa370c82107159,1812120.936161668,1.812120936161668
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0xd1112822dea778ed9ca19dfa87c2cd81f18785b1,1801811.279147283,1.8018112791472831
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x2952c225639041f920722fdb71044baa824c22c2,1779765.782549467,1.779765782549467
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x7daec89d2d0a32a8472115f954c5cd7889bd8d6b,1753781.752308037,1.7537817523080368
0xe52bDD1fc98cD6c0cd544c0187129c20D4545C7F,0x922af893c3dc334a673500cb86022780c2214a84,1684285.630633699,1.684285630633699
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x4c9685429b14653b80d60bec88c16ca7c3aa7c51,90995791.628388352,39.78397423400212
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x89c1397e1e75d40d2dd2f1d8e6a1ec66f7eda17b,10781384.352505993,4.713694002890109
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xf7b203a3b94ae3028a1524f17714f668cfb2870a,1191021.07876,0.5207224538805902
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0xb06f9916317a7793dbf270ed7a4281bf4187f11d,380000.0,0.16613856463450347
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x5b41bb68021b44a6088fb0a5d1e36c527718172a,180000.0,0.07869721482687006
0x52132a43D7cAE69B23abE77B226fA1a5BC66b839,0x349cc64986411e431ba9cbc4daf4a6f7455921e8,180000.0,0.07869721482687006
