token_addr_idx,timestamp,block_number,tx_hash,tx_from,tx_to,evt_idx,evt_type,evt_log,token0,token1,reserve0,reserve1,lp_total_supply,evt_removed
1,2023-08-01 14:35:47+00:00,17820787,0xe1f3e5fc02567bf546bbf7b8978c3b8c87d82cbd5eacbaa69e0143684dd3d463,0x31f234DF9Ff794929e9d252e197ceb5f08849172,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,289,Sync,"{'reserve0': 19394783.55777688, 'reserve1': 20.626}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19394783.55777688,20.626,20000.0,False
1,2023-08-01 14:35:47+00:00,17820787,0xe1f3e5fc02567bf546bbf7b8978c3b8c87d82cbd5eacbaa69e0143684dd3d463,0x31f234DF9Ff794929e9d252e197ceb5f08849172,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,290,Swap,"{'amount0In': 0.0, 'amount1In': 0.2826, 'amount0Out': 268614.04366661736, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19394783.55777688,20.626,20000.0,False
1,2023-08-01 14:36:35+00:00,17820791,0x6929652dc94caad0c2440aee9486994077f82f0d17f2721748b0421c0692cb0b,0xc2f896a3de5e68826ccd7eFD67b71b5231B01b2B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,132,Sync,"{'reserve0': 19196307.27273561, 'reserve1': 20.8399}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19196307.27273561,20.8399,20000.0,False
1,2023-08-01 14:36:35+00:00,17820791,0x6929652dc94caad0c2440aee9486994077f82f0d17f2721748b0421c0692cb0b,0xc2f896a3de5e68826ccd7eFD67b71b5231B01b2B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,133,Swap,"{'amount0In': 0.0, 'amount1In': 0.2139, 'amount0Out': 198476.28504126988, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19196307.27273561,20.8399,20000.0,False
1,2023-08-01 14:37:11+00:00,17820794,0x557604a5894b3c3f908622095a4041722c889237d3c6e99d18663cf3c9480aa4,0x5189faE15386dDFc1c54B53fe22865D56C349c43,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,129,Sync,"{'reserve0': 19064695.201133966, 'reserve1': 20.9842}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19064695.201133966,20.9842,20000.0,False
1,2023-08-01 14:37:11+00:00,17820794,0x557604a5894b3c3f908622095a4041722c889237d3c6e99d18663cf3c9480aa4,0x5189faE15386dDFc1c54B53fe22865D56C349c43,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,130,Swap,"{'amount0In': 0.0, 'amount1In': 0.1443, 'amount0Out': 131612.07160164206, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,19064695.201133966,20.9842,20000.0,False
1,2023-08-01 14:37:47+00:00,17820797,0x855bafdb12d66d4bc382d7db333e1dc6f7cab6c4cf29ef9efce78366cf14ac81,0x72E4D2c6E767c53a0815676D3C487c744FC9b95c,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,211,Sync,"{'reserve0': 18877777.121537317, 'reserve1': 21.1926}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18877777.121537317,21.1926,20000.0,False
1,2023-08-01 14:37:47+00:00,17820797,0x855bafdb12d66d4bc382d7db333e1dc6f7cab6c4cf29ef9efce78366cf14ac81,0x72E4D2c6E767c53a0815676D3C487c744FC9b95c,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,212,Swap,"{'amount0In': 0.0, 'amount1In': 0.2084, 'amount0Out': 186918.07959664852, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18877777.121537317,21.1926,20000.0,False
1,2023-08-01 14:38:23+00:00,17820800,0x9cb2059f0b10eaf5e326da3982db39341930825f4eb1532fafa7b543829ad9b6,0x1c02f5dC20A1B2a0644F59a0bcDCbc4A22A76A46,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,92,Sync,"{'reserve0': 18746458.940051086, 'reserve1': 21.3415}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18746458.940051086,21.3415,20000.0,False
1,2023-08-01 14:38:23+00:00,17820800,0x9cb2059f0b10eaf5e326da3982db39341930825f4eb1532fafa7b543829ad9b6,0x1c02f5dC20A1B2a0644F59a0bcDCbc4A22A76A46,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,93,Swap,"{'amount0In': 0.0, 'amount1In': 0.1489, 'amount0Out': 131318.1814862304, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18746458.940051086,21.3415,20000.0,False
1,2023-08-01 14:38:23+00:00,17820800,0xa6ae17c37b0dbc1cac5eaea5c6a8e2babaf8b9523d2bad4f1a3cac8c1ddccb65,0xB5B97F3FC9a85e4Cbb4dfBB0Bb574C87AbF24a8B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,206,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.3915,20000.0,False
1,2023-08-01 14:38:23+00:00,17820800,0xa6ae17c37b0dbc1cac5eaea5c6a8e2babaf8b9523d2bad4f1a3cac8c1ddccb65,0xB5B97F3FC9a85e4Cbb4dfBB0Bb574C87AbF24a8B,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,207,Swap,"{'amount0In': 0.0, 'amount1In': 0.05, 'amount0Out': 43686.39558333377, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,77,Sync,"{'reserve0': 2129327.2351980647, 'reserve1': 188.3915}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2129327.2351980647,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,78,Swap,"{'amount0In': 0.0, 'amount1In': 167.0, 'amount0Out': 16573445.309269689, 'amount1Out': 0.0}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,2129327.2351980647,188.3915,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,82,Sync,"{'reserve0': 18702772.544467755, 'reserve1': 21.505711094624964}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.505711094624964,20000.0,False
1,2023-08-01 14:38:59+00:00,17820803,0x8dbd345d5aa517f7864cf9b79ce34028cc5902ef3cfb9886432cb4957c3c82d0,0x72070eBe38772a1347099dc750139c2570f30238,0x1124E98C355B4893e1E6903C65DD0EA6Ee7d076B,83,Swap,"{'amount0In': 16573445.309269689, 'amount1In': 0.0, 'amount0Out': 0.0, 'amount1Out': 166.88578890537502}",0x883E2496df47C07c7F2987691f99D491328D98C1,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18702772.544467755,21.505711094624964,20000.0,False
